,Job Name,Quality Score PSNR,Quality Score MSE,Probability PSNR,Probability MSE,Time (seconds),Ratio
0,spring-c -l -q qvz 0.6,16.7377053592455,35.628470389843834,14.56378388107294,0.013919435147099363,220,8.86
1,spring-c -l -q qvz 0.8,19.546433841139905,18.660545245871866,15.238359813431526,0.01191691985686136,220,7.76
2,spring-c -l -q qvz 1,25.4090096645135,4.838009836127178,23.768780128793207,0.0016715600657384903,227,7.08
3,spring-c -l -q ill_bin,27.971964900701394,2.6814593856569786,18.213187671026525,0.006007326448446212,6,6.86
4,SZ3-f -1 63866600 -M REL 0.1,26.160574238254345,4.069211747611428,40.39999859453875,3.63078172269227e-05,6,32.55
